dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.116,22,0.00017326108870967743,-208.34028281838442,-206.35940874995487,False
0.117,19,0.00014963457661290323,-210.3736423248165,-206.21545285889223,False
0.11800000000000001,17,0.00013388356854838709,-211.03498136688432,-205.8684734980494,False
0.11900000000000001,21,0.00016538558467741934,-207.9894300471011,-205.2255699288661,False
0.12,18,0.00014175907258064517,-209.18291103984666,-208.69339844011301,False
0.121,22,0.00017326108870967743,-211.16104724892637,-206.34743652461503,False
0.122,11,8.663054435483871e-05,-209.22562904330164,-204.41176945777616,False
0.123,21,0.00016538558467741934,-212.993356614667,-207.45869261746338,False
0.124,20,0.00015751008064516129,-212.64749274998644,-208.430979415769,False
0.125,19,0.00014963457661290323,-211.24533421905784,-208.70179871642435,False
0.126,15,0.00011813256048387097,-213.03596490062904,-209.80044243542676,False
0.127,17,0.00013388356854838709,-211.79468340456336,-207.50591394617044,False
0.128,22,0.00017326108870967743,-212.7130633092708,-206.21205081650788,False
0.129,19,0.00014963457661290323,-214.48559248903553,-207.62347191369952,False
0.13,11,8.663054435483871e-05,-212.61392177602235,-207.40922427037225,False
0.131,22,0.00017326108870967743,-213.36418724100727,-206.30353697967064,False
0.132,21,0.00016538558467741934,-212.1334560072631,-209.25294059241548,False
0.133,14,0.0001102570564516129,-208.16246235253965,-208.17583243045223,False
0.134,21,0.00016538558467741934,-211.29183514139268,-209.5234722991573,False
0.135,22,0.00017326108870967743,-211.87517326010192,-210.1253213777964,False
0.136,22,0.00017326108870967743,-210.00360906262839,-206.22222115011522,False
0.137,20,0.00015751008064516129,-209.79848100747165,-208.8661425136036,False
0.138,19,0.00014963457661290323,-211.96437647432043,-208.61827838638743,False
0.139,21,0.00016538558467741934,-211.18891561911067,-206.0751859985284,False
0.14,22,0.00017326108870967743,-213.43955757160592,-205.57564232033016,False
0.14100000000000001,20,0.00015751008064516129,-209.01590024238993,-208.3012925088485,False
